,video_ID,section_key
Louis Tomlinson - Just Like You (Lyric Video),Louis Tomlinson - Just Like You (Lyric Video),1
Taylor Swift - Gorgeous (Lyric Video),Taylor Swift - Gorgeous (Lyric Video),0
Marshmello - Silence Ft. Khalid (Official Music Video),Marshmello - Silence Ft. Khalid (Official Music Video),0
[OFFICIAL VIDEO] Away in a Manger – Pentatonix,[OFFICIAL VIDEO] Away in a Manger – Pentatonix,0
Charlie Puth - How Long [Official Video],Charlie Puth - How Long [Official Video],0
Liam Payne - Bedroom Floor (Lyric Video),Liam Payne - Bedroom Floor (Lyric Video),0
Martin Garrix & Matisse & Sadko - Forever (Official Music Video),Martin Garrix & Matisse & Sadko - Forever (Official Music Video),0
Hayley Kiyoko - Feelings [Official Video],Hayley Kiyoko - Feelings [Official Video],0
CNCO - Mamita (Audio),CNCO - Mamita (Audio),0
Bruno Mars - Just The Way You Are [ONE VOICE: SOMOS LIVE! Performance],Bruno Mars - Just The Way You Are [ONE VOICE: SOMOS LIVE! Performance],1
Alesso & Anitta - Is That For Me (Official Music Video),Alesso & Anitta - Is That For Me (Official Music Video),1
Jessie J - Not My Ex,Jessie J - Not My Ex,1
Imagine Dragons - Whatever It Takes,Imagine Dragons - Whatever It Takes,1
Michael Jackson - Blood On The Dance Floor X Dangerous (The White Panda Mash-Up),Michael Jackson - Blood On The Dance Floor X Dangerous (The White Panda Mash-Up),1
Kris Wu - Deserve ft. Travis Scott (Official Audio),Kris Wu - Deserve ft. Travis Scott (Official Audio),1
Alesso & Anitta - Is That For Me (Official Video),Alesso & Anitta - Is That For Me (Official Video),1
Invitation - Why Don't We [Official Music Video],Invitation - Why Don't We [Official Music Video],2
NF - Outcast,NF - Outcast,2
Charlie Puth – How Long [Official Audio],Charlie Puth – How Long [Official Audio],2
Lin-Manuel Miranda - Almost Like Praying feat Artists for Puerto Rico [Music Video],Lin-Manuel Miranda - Almost Like Praying feat Artists for Puerto Rico [Music Video],2
Wu-Tang Clan - People Say ft. Redman,Wu-Tang Clan - People Say ft. Redman,1
One More Light (Official Lyric Video) - Linkin Park,One More Light (Official Lyric Video) - Linkin Park,2
Sam Smith - Pray (Official Audio),Sam Smith - Pray (Official Audio),2
"J Balvin, Willy William - Mi Gente featuring Beyoncé ft. Beyoncé","J Balvin, Willy William - Mi Gente featuring Beyoncé ft. Beyoncé",4
Maroon 5 - What Lovers Do ft. SZA,Maroon 5 - What Lovers Do ft. SZA,4
dodie - 6/10,dodie - 6/10,4
"J Balvin, Willy William - Mi Gente featuring Beyoncé","J Balvin, Willy William - Mi Gente featuring Beyoncé",4
Sam Smith - Too Good At Goodbyes (Live From Hackney Round Chapel),Sam Smith - Too Good At Goodbyes (Live From Hackney Round Chapel),4
ZAYN - Dusk Till Dawn ft. Sia (SING OFF vs. Madison Beer),ZAYN - Dusk Till Dawn ft. Sia (SING OFF vs. Madison Beer),4
Noah Cyrus - Again ft. XXXTENTACION,Noah Cyrus - Again ft. XXXTENTACION,5
MACKLEMORE FEAT KESHA - GOOD OLD DAYS (OFFICIAL MUSIC VIDEO),MACKLEMORE FEAT KESHA - GOOD OLD DAYS (OFFICIAL MUSIC VIDEO),5
Melanie Martinez - Mad Hatter [Official Video],Melanie Martinez - Mad Hatter [Official Video],4
Ed Sheeran - Perfect [Official Lyric Video],Ed Sheeran - Perfect [Official Lyric Video],5
Danielle Bregoli is BHAD BHABIE “Hi Bich / Whachu Know” (Official Music Video),Danielle Bregoli is BHAD BHABIE “Hi Bich / Whachu Know” (Official Music Video),5
ASKING ALEXANDRIA - Into The Fire (Official Music Video),ASKING ALEXANDRIA - Into The Fire (Official Music Video),5
Niall Horan - Too Much To Ask (Official),Niall Horan - Too Much To Ask (Official),5
"Zedd, Liam Payne - Get Low (Street Video)","Zedd, Liam Payne - Get Low (Street Video)",5
Sia - Rainbow (From The 'My Little Pony: The Movie' Official Soundtrack) (Official Video),Sia - Rainbow (From The 'My Little Pony: The Movie' Official Soundtrack) (Official Video),5
One More Light (Official Video) - Linkin Park,One More Light (Official Video) - Linkin Park,3
Sam Smith - Too Good At Goodbyes (Official Video),Sam Smith - Too Good At Goodbyes (Official Video),3
BTS (방탄소년단) 'DNA' Official MV,BTS (방탄소년단) 'DNA' Official MV,3
Shakira - Perro Fiel (Official Video) ft. Nicky Jam,Shakira - Perro Fiel (Official Video) ft. Nicky Jam,3
NF - Let You Down (Audio),NF - Let You Down (Audio),3
Niall Horan - Too Much to Ask (Audio),Niall Horan - Too Much to Ask (Audio),3
Fall Out Boy - The Last Of The Real Ones,Fall Out Boy - The Last Of The Real Ones,3
Lana Del Rey - White Mustang (Official Video),Lana Del Rey - White Mustang (Official Video),3
Fergie - You Already Know ft. Nicki Minaj,Fergie - You Already Know ft. Nicki Minaj,3
Sam Smith - Too Good At Goodbyes (Official Audio),Sam Smith - Too Good At Goodbyes (Official Audio),3
Fifth Harmony - Deliver,Fifth Harmony - Deliver,3
ZAYN - Dusk Till Dawn ft. Sia,ZAYN - Dusk Till Dawn ft. Sia,3
